date,rank,code,score,true_open_return
2025-01-10,1,600007.SH,-2.466299295425415,0.47784534096717834
2025-01-10,2,000757.SZ,-2.4688634872436523,1.4005602598190308
2025-01-10,3,603036.SH,-2.4692695140838623,-0.38634899258613586
2025-01-10,4,002445.SZ,-2.469757556915283,0.4273504316806793
2025-01-10,5,600113.SH,-2.4698126316070557,-0.07849293202161789
2025-01-10,6,000598.SZ,-2.4699153900146484,0.0
2025-01-10,7,002392.SZ,-2.4707462787628174,-0.22123894095420837
2025-01-10,8,603599.SH,-2.4719412326812744,0.0
2025-01-10,9,603230.SH,-2.472038745880127,0.5132591724395752
2025-01-10,10,000593.SZ,-2.47213077545166,-0.19379845261573792
2025-01-10,11,000062.SZ,-2.472768783569336,-0.14265334606170654
2025-01-10,12,000407.SZ,-2.4734020233154297,0.0
2025-01-10,13,002645.SZ,-2.4736170768737793,0.0
2025-01-10,14,000672.SZ,-2.4736216068267822,0.14005602896213531
2025-01-10,15,002888.SZ,-2.4736812114715576,-0.4039238393306732
2025-01-10,16,001223.SZ,-2.473853588104248,-0.5219985246658325
2025-01-10,17,002909.SZ,-2.474142551422119,-0.41152262687683105
2025-01-10,18,002976.SZ,-2.4741787910461426,-0.049309663474559784
2025-01-10,19,605589.SH,-2.4743716716766357,1.6142735481262207
2025-01-10,20,605088.SH,-2.474698781967163,0.2974925637245178
2025-01-13,1,600989.SH,-2.4648616313934326,0.3021148145198822
2025-01-13,2,002392.SZ,-2.4664056301116943,-0.2283104956150055
2025-01-13,3,000757.SZ,-2.4687068462371826,-1.671309232711792
2025-01-13,4,002445.SZ,-2.4696757793426514,0.0
2025-01-13,5,603036.SH,-2.470730781555176,-0.2722940742969513
2025-01-13,6,000598.SZ,-2.4709417819976807,-0.28776979446411133
2025-01-13,7,600819.SH,-2.471893548965454,-0.787401556968689
2025-01-13,8,603099.SH,-2.4726033210754395,-1.0451977252960205
2025-01-13,9,002669.SZ,-2.47322940826416,-1.7777777910232544
2025-01-13,10,601728.SH,-2.473345994949341,-0.8595988750457764
2025-01-13,11,600784.SH,-2.473405599594116,-0.18148820102214813
2025-01-13,12,002976.SZ,-2.473435878753662,-0.6458022594451904
2025-01-13,13,001300.SZ,-2.4735724925994873,-1.6997166872024536
2025-01-13,14,002909.SZ,-2.4737133979797363,2.127659559249878
2025-01-13,15,000672.SZ,-2.47373104095459,-0.14265334606170654
2025-01-13,16,002645.SZ,-2.4742166996002197,-1.5267175436019897
2025-01-13,17,600187.SH,-2.4742531776428223,-1.3201320171356201
2025-01-13,18,002094.SZ,-2.4743001461029053,-1.574803113937378
2025-01-13,19,000062.SZ,-2.474635362625122,-1.4167073965072632
2025-01-13,20,002114.SZ,-2.4747183322906494,-1.9400352239608765
2025-01-14,1,002094.SZ,-2.462883949279785,0.5917159914970398
2025-01-14,2,600989.SH,-2.4631195068359375,-0.5382775068283081
2025-01-14,3,600819.SH,-2.4673938751220703,-0.1953125
2025-01-14,4,002867.SZ,-2.4698333740234375,0.32258063554763794
2025-01-14,5,003016.SZ,-2.4699878692626953,-0.13513512909412384
2025-01-14,6,002445.SZ,-2.470947742462158,0.0
2025-01-14,7,605286.SH,-2.471024513244629,-0.4626334607601166
2025-01-14,8,002392.SZ,-2.4716532230377197,0.0
2025-01-14,9,603036.SH,-2.472304105758667,1.364256501197815
2025-01-14,10,600302.SH,-2.4727554321289062,0.0
2025-01-14,11,001300.SZ,-2.4728026390075684,1.3876041173934937
2025-01-14,12,603099.SH,-2.473055124282837,3.69334077835083
2025-01-14,13,000538.SZ,-2.473550319671631,0.17809438705444336
2025-01-14,14,002521.SZ,-2.4742178916931152,0.7882882952690125
2025-01-14,15,603970.SH,-2.4747824668884277,-0.44876590371131897
2025-01-14,16,002140.SZ,-2.4748058319091797,0.4550625681877136
2025-01-14,17,002691.SZ,-2.4750595092773438,1.495726466178894
2025-01-14,18,003027.SZ,-2.475173234939575,1.6727272272109985
2025-01-14,19,000672.SZ,-2.4752755165100098,0.0
2025-01-14,20,600593.SH,-2.475436210632324,4.8701300621032715
2025-01-15,1,002867.SZ,-2.4592254161834717,-0.2356637865304947
2025-01-15,2,002094.SZ,-2.4635355472564697,0.3663003742694855
2025-01-15,3,600819.SH,-2.465061902999878,0.0
2025-01-15,4,600989.SH,-2.4676597118377686,-0.41420117020606995
2025-01-15,5,605286.SH,-2.469939708709717,0.46916890144348145
2025-01-15,6,600302.SH,-2.470351457595825,0.8474576473236084
2025-01-15,7,600444.SH,-2.470991849899292,0.06680026650428772
2025-01-15,8,003016.SZ,-2.4711272716522217,2.0
2025-01-15,9,002392.SZ,-2.471707344055176,0.0
2025-01-15,10,600281.SH,-2.472731828689575,0.9259259104728699
2025-01-15,11,600616.SH,-2.4732956886291504,-0.18903592228889465
2025-01-15,12,002136.SZ,-2.4736905097961426,0.8376963138580322
2025-01-15,13,603036.SH,-2.4742250442504883,0.2541296184062958
2025-01-15,14,603099.SH,-2.474440574645996,-0.4292997121810913
2025-01-15,15,002995.SZ,-2.4748497009277344,2.3243801593780518
2025-01-15,16,600683.SH,-2.4749934673309326,0.0
2025-01-15,17,000538.SZ,-2.475229024887085,0.017421603202819824
2025-01-15,18,000750.SZ,-2.475358486175537,-0.4938271641731262
2025-01-15,19,002570.SZ,-2.4758052825927734,0.24038460850715637
2025-01-15,20,603276.SH,-2.4758286476135254,0.8862629532814026
2025-01-16,1,600379.SH,-2.4686965942382812,1.01694917678833
2025-01-16,2,600444.SH,-2.4695796966552734,0.9370816349983215
2025-01-16,3,600302.SH,-2.469768762588501,0.6237006187438965
2025-01-16,4,002867.SZ,-2.470489263534546,0.31446540355682373
2025-01-16,5,603917.SH,-2.4707562923431396,0.0
2025-01-16,6,603192.SH,-2.4716732501983643,0.06675567477941513
2025-01-16,7,603329.SH,-2.4726929664611816,0.4858299493789673
2025-01-16,8,002642.SZ,-2.4728753566741943,1.331360936164856
2025-01-16,9,002631.SZ,-2.4731907844543457,0.24390244483947754
2025-01-16,10,600616.SH,-2.4735004901885986,0.5597015023231506
2025-01-16,11,600819.SH,-2.473771095275879,-0.1862197369337082
2025-01-16,12,002094.SZ,-2.4740819931030273,0.5464481115341187
2025-01-16,13,603657.SH,-2.4741296768188477,0.22354695200920105
2025-01-16,14,002995.SZ,-2.4743220806121826,1.4056224822998047
2025-01-16,15,002201.SZ,-2.4746670722961426,0.19455252587795258
2025-01-16,16,002136.SZ,-2.4750638008117676,0.5285412073135376
2025-01-16,17,603036.SH,-2.475179672241211,0.5739796161651611
2025-01-16,18,002227.SZ,-2.475511074066162,1.7821781635284424
2025-01-16,19,002012.SZ,-2.4759161472320557,0.8547008633613586
2025-01-16,20,603716.SH,-2.47599196434021,0.0
2025-01-17,1,002631.SZ,-2.4670166969299316,-0.7228915691375732
2025-01-17,2,002121.SZ,-2.4696314334869385,0.0
2025-01-17,3,600302.SH,-2.470609426498413,0.20703934133052826
2025-01-17,4,002082.SZ,-2.471351385116577,-0.30674847960472107
2025-01-17,5,600860.SH,-2.472119092941284,-0.19920319318771362
2025-01-17,6,002079.SZ,-2.4725749492645264,-0.39880359172821045
2025-01-17,7,600379.SH,-2.4726743698120117,0.0
2025-01-17,8,600444.SH,-2.473334550857544,0.0
2025-01-17,9,600051.SH,-2.4735541343688965,0.9188361167907715
2025-01-17,10,601728.SH,-2.4737460613250732,-0.14388489723205566
2025-01-17,11,000812.SZ,-2.4740447998046875,-1.0989011526107788
2025-01-17,12,000783.SZ,-2.4747278690338135,-0.31152647733688354
2025-01-17,13,002136.SZ,-2.475038528442383,-0.7268950939178467
2025-01-17,14,002642.SZ,-2.4750919342041016,-0.14662756025791168
2025-01-17,15,603917.SH,-2.475156307220459,-0.4416961073875427
2025-01-17,16,603657.SH,-2.4751951694488525,-0.2209131121635437
2025-01-17,17,002731.SZ,-2.4753754138946533,-0.33259424567222595
2025-01-17,18,603192.SH,-2.4753782749176025,0.9389671087265015
2025-01-17,19,002803.SZ,-2.475383758544922,-0.4654771089553833
2025-01-17,20,000017.SZ,-2.475672483444214,-1.04347825050354
2025-01-20,1,002631.SZ,-2.4656569957733154,1.2254902124404907
2025-01-20,2,002121.SZ,-2.467106819152832,0.9615384340286255
2025-01-20,3,002171.SZ,-2.4712579250335693,0.6841505169868469
2025-01-20,4,002875.SZ,-2.472097396850586,0.6589785814285278
2025-01-20,5,002082.SZ,-2.472757339477539,1.5408320426940918
2025-01-20,6,000735.SZ,-2.473080635070801,0.9819967150688171
2025-01-20,7,002731.SZ,-2.4737930297851562,1.4656144380569458
2025-01-20,8,002331.SZ,-2.473926305770874,0.6944444179534912
2025-01-20,9,002642.SZ,-2.4740445613861084,1.9089573621749878
2025-01-20,10,000783.SZ,-2.4742846488952637,0.7776049971580505
2025-01-20,11,002302.SZ,-2.4742937088012695,0.32310178875923157
2025-01-20,12,002079.SZ,-2.4749069213867188,0.4901960790157318
2025-01-20,13,000718.SZ,-2.475071430206299,0.43290042877197266
2025-01-20,14,603898.SH,-2.475125789642334,-0.22246940433979034
2025-01-20,15,002329.SZ,-2.4751462936401367,1.1799410581588745
2025-01-20,16,000670.SZ,-2.4755396842956543,0.0
2025-01-20,17,002227.SZ,-2.475616216659546,0.4868549108505249
2025-01-20,18,600860.SH,-2.4757461547851562,0.5055611729621887
2025-01-20,19,603276.SH,-2.4758453369140625,1.2753188610076904
2025-01-20,20,600719.SH,-2.4759209156036377,0.9523809552192688
2025-01-21,1,002121.SZ,-2.4633030891418457,0.715990424156189
2025-01-21,2,600817.SH,-2.4675726890563965,0.08628127723932266
2025-01-21,3,603655.SH,-2.472346544265747,-0.08435259014368057
2025-01-21,4,603025.SH,-2.473385810852051,0.5840363502502441
2025-01-21,5,002407.SZ,-2.473654270172119,0.936170220375061
2025-01-21,6,002875.SZ,-2.473689079284668,0.08123476803302765
2025-01-21,7,001260.SZ,-2.473707914352417,1.268882155418396
2025-01-21,8,603192.SH,-2.4737768173217773,0.32509753108024597
2025-01-21,9,002351.SZ,-2.474011182785034,1.0120177268981934
2025-01-21,10,603690.SH,-2.474144220352173,0.7404360175132751
2025-01-21,11,002302.SZ,-2.474283218383789,-1.446945309638977
2025-01-21,12,603898.SH,-2.474491596221924,0.890868604183197
2025-01-21,13,002171.SZ,-2.474658489227295,0.34443169832229614
2025-01-21,14,002082.SZ,-2.474825382232666,0.0
2025-01-21,15,002256.SZ,-2.475217819213867,0.0
2025-01-21,16,002631.SZ,-2.4755284786224365,1.1990407705307007
2025-01-21,17,600425.SH,-2.475867986679077,0.5305039882659912
2025-01-21,18,000735.SZ,-2.4759888648986816,0.16286644339561462
2025-01-21,19,603701.SH,-2.4759907722473145,0.8708272576332092
2025-01-21,20,600736.SH,-2.476038694381714,0.7518796920776367
2025-01-22,1,002121.SZ,-2.4599075317382812,-0.24271844327449799
2025-01-22,2,002082.SZ,-2.466637372970581,0.0
2025-01-22,3,600817.SH,-2.4679436683654785,0.17211703956127167
2025-01-22,4,603025.SH,-2.469031810760498,0.9061488509178162
2025-01-22,5,603125.SH,-2.46913743019104,0.2098635882139206
2025-01-22,6,003001.SZ,-2.469252586364746,-0.282752126455307
2025-01-22,7,600468.SH,-2.469609498977661,-0.8403361439704895
2025-01-22,8,002302.SZ,-2.4697275161743164,-0.6677796244621277
2025-01-22,9,000925.SZ,-2.469844102859497,0.9790209531784058
2025-01-22,10,002962.SZ,-2.4702203273773193,-0.7514088749885559
2025-01-22,11,000850.SZ,-2.4705450534820557,-0.2506265640258789
2025-01-22,12,002500.SZ,-2.470585823059082,-0.3273322284221649
2025-01-22,13,001288.SZ,-2.4706432819366455,-0.5942555069923401
2025-01-22,14,002631.SZ,-2.4707820415496826,-0.24449877440929413
2025-01-22,15,002935.SZ,-2.470968723297119,-0.394996702671051
2025-01-22,16,605365.SH,-2.4712605476379395,-0.06613756716251373
2025-01-22,17,603898.SH,-2.4713807106018066,-0.4571428596973419
2025-01-22,18,002329.SZ,-2.471698760986328,-4.477612018585205
2025-01-22,19,603939.SH,-2.4717190265655518,-1.7431973218917847
2025-01-22,20,002731.SZ,-2.47233247756958,-0.11148271709680557
2025-01-23,1,600755.SH,-2.460632562637329,0.9244992136955261
2025-01-23,2,600033.SH,-2.46199893951416,0.522193193435669
2025-01-23,3,603025.SH,-2.462294340133667,1.0204081535339355
2025-01-23,4,002500.SZ,-2.4623775482177734,1.8181818723678589
2025-01-23,5,002983.SZ,-2.4626142978668213,1.3506213426589966
2025-01-23,6,002121.SZ,-2.463144540786743,1.2285012006759644
2025-01-23,7,002608.SZ,-2.4634041786193848,0.6868131756782532
2025-01-23,8,002082.SZ,-2.465040922164917,0.31496062874794006
